MatNo,Points
144673,10
140521,10
144473,10
145832,10
140418,10
141559,10
143132,10
144463,10
140417,10
145837,10
145840,10
145841,10
140523,10
140635,10
144672,10
146130,10
144462,10
142212,10
143133,10
145831,10
144472,10
143642,10
143643,10
143306,10
145838,10
140634,10
140525,10
140526,10
141558,10
141196,10
140563,10
142213,10
140527,10
145826,4
145644,4
145742,4
145828,4
143110,4
143586,4
143576,4
143134,4
145727,4
143566,4
140363,4
143109,4
145741,4
143574,4
143106,4
140360,4
138933,4
141515,4
145474,2
145472,2
143160,2
145497,2
145577,2
145500,2
143629,2
145496,2
143625,2
145570,2
142930,2
142931,2
145572,2
142939,2
145473,2
145471,2
144373,2
143507,2
145498,2
143354,2
145569,2
143162,2
142938,2
145499,2
142890,2
142932,2
145930,2
140709,2
137224,2
139759,2
145568,2
141539,2
137227,2
137219,2
137221,2
142889,2
143874,1
143877,1
145451,1
134707,1
145450,1
145888,1
135899,1
134348,1
145575,1
143622,1
135896,1
134728,1
143899,1
143628,1
135898,1
140043,1
142923,1
135508,1
145438,1
135903,1
135509,1
135895,1
134349,1
139706,1
139840,1
143099,1
123150,1
142924,1
143900,1
135872,1
135904,1
143898,1
135162,1
145447,1
134782,1
134346,1
134345,1
145442,1
145449,1
134525,1
135892,1
143508,1
140918,1
145444,1
133405,1
142200,1
145724,1
145573,1
134523,1
145439,1
134533,1
135020,1
137230,1
142941,1
143623,1
137232,1
124213,1
124216,1
